Number of points used,  % of total number of points
173409, 0.9773981366144551
159309, 0.8979252503959554
173456, 0.9776630462351834
177419, 1.0
176840, 0.9967365389276233
164909, 0.9294889498869907
177419, 1.0
177419, 1.0
175002, 0.9863768818446728
163516, 0.9216374796385957
171903, 0.9689097560013302
171894, 0.9688590286271481

